"en","fr"
"Prioritize tracking data for City developments and projects that receive TIFs around local hiring and workforce development.","Les données de suivi Prioriser pour les développements sur la ville et les projets qui reçoivent TIF autour de l'emploi local et le développement de la main-d'œuvre."
"Establish a Hiring Task Force to review HR practices, policy interventions, best practices, and barriers through a lens of equity and meet workforce needs.","Mettre en place une embauche Groupe de travail pour examiner les pratiques des ressources humaines, les interventions politiques, les meilleures pratiques et les obstacles à travers une lentille des besoins en main-d'œuvre et l'équité de la compétition."
"Establish a resident preference program for City jobs.","Mettre en place un programme de préférence résident pour les emplois City."
"Prioritize the Baltimore Greenway Trails Network.","Le Réseau des établir des priorités sentiers Greenway Baltimore."
"Join Climate Mayors in supporting the spirit and goals of the Paris Climate Agreement.","Joignez-vous à des maires du climat pour soutenir l'esprit et les objectifs de l'accord climatique Paris."
"Support the overrides of the Blueprint for Maryland's Future and Built to Learn.","Soutenir les remplacements du Plan directeur pour l'avenir du Maryland et construit pour savoir."
"Prepare to significantly increase the capacity of virtual YouthWorks in 2021.","Préparez-vous à augmenter de manière significative la capacité de YouthWorks virtuelles en 2021."
"Begin implementation of the Elijah Cummings Healing City Act to ensure trauma-informed practice across city government.","Commencez la mise en œuvre de la ville de guérison Cummings Elijah Loi visant à assurer la pratique compte des traumatismes au sein du gouvernement de la ville."
"Develop plan for equitable and age-appropriate access in partnership with sports, arts, and cultural institutions that create recreational services during this unprecedented pandemic.","Élaborer un plan d'accès équitable et adapté à l'âge, en partenariat avec le sport, les arts et les institutions culturelles qui créent des services de loisirs au cours de cette pandémie sans précédent."
"Hire Baltimore's first Chief Administrative Officer.","Recrutez premier chef de l'administration de Baltimore."
"Kick off community engagement plan to introduce Chief Administrative Officer and other senior officials to public.","Coup d'envoi plan d'engagement communautaire à présenter le chef de l'administration et d'autres hauts fonctionnaires au public."
"Establish a regular Stat program to ensure greater accountability and more equitable service delivery across City government.","Mettre en place un programme régulier Stat pour assurer une plus grande responsabilisation et une prestation de services équitable au sein du gouvernement municipal."
"Restore recycling services, which were suspended due to COVID-19.","La restauration des services de recyclage, qui ont été suspendues en raison de Covid-19."
"Announce plan to reform the water billing program.","Annoncent un projet de réforme du programme de facturation de l'eau."
"Appoint a permanent Housing Commissioner.","Désigner un commissaire logement permanent."
"Appoint a permanent Homeless Services director.","Désigner un directeur des services sans-abri permanent."
"Initiate a Fix-it First campaign to fill backlog of transportation and infrastructure related 311 service requests, particularly where there has historically been a longer response time.","Initier un Fix-it Première campagne au carnet de commandes de remplissage du transport et des infrastructures connexes 311 demandes de service, en particulier là où il y a toujours eu un temps de réponse plus."
"Publish a clear and concise set of procedures to apply for and receive city-owned properties for development.","Publier un ensemble clair et concis des procédures pour demander et recevoir des propriétés appartenant à la ville pour le développement."
"Make stronger commitments to cleaning up sewage backups.","Faire des engagements plus forts pour le nettoyage des refoulements d'égouts."
"Develop and communicate a COVID-19 vaccination prioritization strategy.","Élaborer et communiquer une stratégie d'établissement des priorités de vaccination Covid-19."
"Create a dashboard to track CARES act funding to ensure equitable distribution.","Créer un tableau de bord pour suivre CARES Loi sur le financement pour assurer une répartition équitable."
"Use Rapid Rehousing CARES Act dollars to move 500 people and families to more permanent housing.","Utilisation rapide Relogement CARES dollars Loi pour déplacer 500 personnes et les familles à un logement permanent."
"Extend emergency shelter in local hotels when CARES Act funding expires.","Étendre des abris d'urgence dans des hôtels locaux lorsque CARES Loi sur le financement prend fin."
"Cap restaurant delivery fees on third-party app services.","frais de livraison Cap restaurant sur les services d'applications tiers."
"Identify clear point of contact for local businesses to more effectively navigate city government.","Identifier clairement des contacts points pour les entreprises locales au gouvernement de la ville plus naviguer efficacement."
"Begin holistic, top-to-bottom assessment of city agencies and process to inventory city property.","Commencez l'évaluation globale, de haut en bas des agences de la ville et le processus de propriété de la ville d'inventaire."
"Begin a holistic review of tax credits to address inefficiencies, redundancies, or new credits that would build a more equitable city.","Commencez un examen global des crédits d'impôt à l'inefficacité de l'adresse, les licenciements, ou de nouveaux crédits qui construire une ville plus équitable."
"Announce new criteria for evaluation of capital budget requests.","Annoncer de nouveaux critères d'évaluation des demandes de budget d'immobilisations."
"Expand community engagement in the budget process.","Développer l'engagement communautaire dans le processus budgétaire."
"Commit to updating the City's 10-year financial plan.","Engagez-vous à la mise à jour plan financier à 10 ans de la ville."
"Design and release Open Checkbook for Baltimore to increase transparency and accountability.","Concevoir et libérer Ouvrir Chéquier pour Baltimore pour accroître la transparence et la responsabilité."
"Mayor's Office of Neighborhood Safety & Engagement","Bureau de sécurité du quartier et l'engagement du maire"
"Baltimore Police Department","Baltimore Police Department"
"Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Health Department, Baltimore Police Department","Bureau du maire, Bureau de sécurité du quartier et l'engagement du maire, la ville de Baltimore ministère de la Santé, Service de police de Baltimore"
"Baltimore City Department of Housing & Community Development","Baltimore ministère du Logement et du développement communautaire"
"Baltimore City Department of Transportation","Baltimore ministère des Transports"
"Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement","Baltimore Police Department, Bureau de la sécurité du quartier et l'engagement du maire"
"Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Department of Public Works, Baltimore City Department of Housing & Community Development, Baltimore City Health Department","Baltimore Police Department, Bureau de la sécurité du quartier et l'engagement du maire, Baltimore Département des Travaux publics Ville, Baltimore ministère du Logement et du Développement communautaire, Baltimore Département de la santé"
"Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement","Bureau du maire, Bureau de sécurité du quartier et l'engagement du maire"
"Mayor's Office","Le bureau du maire"
"Mayor's Office, Baltimore City Office of Equity & Civil Rights","Bureau du maire, Ville de Baltimore Bureau de l'équité et des droits civils"
"Mayor's Office, Baltimore City Department of Planning","Bureau du maire, Département de la planification Baltimore"
"Baltimore City Department of Finance","Baltimore ministère des Finances"
"Mayor's Office, Baltimore City Department of Housing & Community Development","Bureau du maire, Ville de Baltimore ministère du Logement et du développement communautaire"
"Baltimore City Department of Housing & Community Development, Mayor's Office of Performance & Innovation","Baltimore ministère du Logement et du Développement communautaire, Bureau du maire de la performance et l'innovation"
"Baltimore City Department of Finance, Baltimore City Bureau of Procurement","Baltimore ministère des Finances, la ville de Baltimore Bureau des marchés"
"Baltimore Development Corporation","Société de développement Baltimore"
"Baltimore City Department of Human Resources","Baltimore ministère des Ressources humaines Ville"
"Baltimore City Department of Planning, Baltimore City Department of Transportation, Baltimore City Department of Recreation & Parks","Baltimore Département de la planification, la ville de Baltimore ministère des Transports, la ville de Baltimore Département des loisirs et des parcs"
"Baltimore City Department of Planning","Baltimore Département de la planification"
"Mayor's Office, Maryland General Assembly","Bureau du maire, Maryland Assemblée générale"
"Mayor's Office of Employment Development","Bureau du Développement de l'emploi du maire"
"Baltimore City Health Department, Mayor's Office of Neighborhood Safety & Engagement","Baltimore Département de la santé, Bureau de sécurité du quartier et l'engagement du maire"
"Baltimore City Department of Recreation & Parks","Baltimore Département des loisirs et des parcs"
"Mayor's Office of Performance & Innovation","Bureau de la performance et l'innovation du maire"
"Baltimore City Department of Public Works","Baltimore ministère des Travaux publics Ville"
"Mayor's Office of Homeless Services","Bureau des services sans-abri du maire"
"Baltimore City Department of Public Works, Baltimore City Department of Transportation","Baltimore ministère des Travaux publics, ministère des Transports Baltimore"
"Baltimore City Health Department","Baltimore Département de la santé"
"Mayor's Office, Baltimore Development Corporation","Bureau du maire, Baltimore Development Corporation"
"Baltimore City Department of General Services","Baltimore Département des services généraux"
"Mayor's Office, Baltimore City Department of Finance","Bureau du maire, ministère des Finances Baltimore"
"Baltimore City Information & Technology, Baltimore City Department of Finance","Baltimore information et technologie, ministère des Finances Baltimore"
"Complete","Achevée"
"Not Yet Started","Pas encore commencé"
"In Progress","En cours"
"Priorities & Progress","Priorités et progrès"
"Download this data (csv)","Télécharger ces données (csv)"
"About this Initiative","A propos de cette initiative"
"Resources & Feedback","Ressources et commentaires"
