en,es
Baltimore City Department of Housing & Community Development,Baltimore Departamento de Vivienda y Desarrollo Comunitario de la Ciudad
Baltimore City Department of Transportation,Departamento de Transporte de la ciudad de Baltimore
"Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement","Departamento de Policía de Baltimore, Oficina de Seguridad y Barrio de compromiso del Alcalde"
"Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Department of Public Works, Baltimore City Department of Housing & Community Development, Baltimore City Health Department","Departamento de Policía de Baltimore, Oficina del Barrio de Seguridad y Participación, Baltimore Departamento de Obras Públicas de la ciudad, Baltimore Departamento de Vivienda y Desarrollo Comunitario de la Ciudad, Baltimore Departamento de Salud de la Ciudad de Alcalde"
"Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement","Oficina del Alcalde, Oficina de Seguridad y Barrio de compromiso del Alcalde"
Mayor's Office,La oficina del alcalde
"Mayor's Office, Baltimore City Office of Equity & Civil Rights","Oficina del Alcalde, Baltimore Oficina de la Ciudad de acciones y derechos civiles"
"Mayor's Office, Baltimore City Department of Planning","Oficina del Alcalde, Departamento de Planificación de la ciudad de Baltimore"
Baltimore City Department of Finance,Departamento de Finanzas de la Ciudad de Baltimore
"Mayor's Office, Baltimore City Department of Housing & Community Development","Oficina del Alcalde, Baltimore Departamento de Vivienda y Desarrollo Comunitario de la Ciudad"
"Baltimore City Department of Housing & Community Development, Mayor's Office of Performance & Innovation","Baltimore Departamento de Vivienda y Desarrollo Comunitario, Oficina de Evaluación de la Innovación y del Alcalde de la ciudad"
"Baltimore City Department of Finance, Baltimore City Bureau of Procurement","Baltimore Departamento de Finanzas de la Ciudad, Oficina de la ciudad de Baltimore de Contratación"
Baltimore Development Corporation,Development Corporation de Baltimore
Baltimore City Department of Human Resources,Baltimore Departamento de Recursos Humanos de la Ciudad
"Baltimore City Department of Planning, Baltimore City Department of Transportation, Baltimore City Department of Recreation & Parks","Baltimore City Departamento de Planificación, Departamento de Transporte de Baltimore City, Baltimore Departamento de Parques y Recreación de la Ciudad"
Baltimore City Department of Planning,Departamento de Planificación de la ciudad de Baltimore
"Mayor's Office, Maryland General Assembly","Oficina del Alcalde, Asamblea General de Maryland"
Mayor's Office of Employment Development,Oficina de Desarrollo de Empleo del Alcalde
"Baltimore City Health Department, Mayor's Office of Neighborhood Safety & Engagement","Baltimore Departamento de Salud de la Ciudad, Oficina de Seguridad y Barrio de compromiso del Alcalde"
Baltimore City Department of Recreation & Parks,Baltimore Departamento de Parques y Recreación de la Ciudad
Mayor's Office of Performance & Innovation,Oficina de Evaluación de la Innovación y del Alcalde
Baltimore City Department of Public Works,Baltimore Departamento de Obras Públicas de la ciudad
Mayor's Office of Homeless Services,Oficina de Servicios para Desamparados del Alcalde
"Baltimore City Department of Public Works, Baltimore City Department of Transportation","Baltimore Departamento de Obras Públicas de la ciudad, Departamento de Transporte de la ciudad de Baltimore"
Baltimore City Health Department,Departamento de Salud de la Ciudad de Baltimore
"Mayor's Office, Baltimore Development Corporation","Oficina del Alcalde, Baltimore Development Corporation"
Baltimore City Department of General Services,Baltimore Departamento de Servicios Generales City
"Mayor's Office, Baltimore City Department of Finance","Oficina del Alcalde, Departamento de Finanzas de Baltimore"
"Baltimore City Information & Technology, Baltimore City Department of Finance","Información y tecnología de Baltimore City, Departamento de Finanzas de Baltimore"
Complete,Completar
Not Yet Started,Todavía no empezado
In Progress,En curso
Priorities & Progress,Prioridades y Progreso
Download this data (csv),Descargar datos (csv)
About this Initiative,Sobre esta Iniciativa
Resources & Feedback,Recursos y Evaluación
